Date,Count
2024-11-30,589
2024-12-01,724
2024-12-02,2011
2024-12-03,2342
2024-12-04,2366
2024-12-05,2583
2024-12-06,2170
2024-12-07,1860
2024-12-08,1559
2024-12-09,1776
2024-12-10,1664
2024-12-11,1728
2024-12-12,1391
2024-12-13,1308
2024-12-14,483
2024-12-15,404
2024-12-16,282
2024-12-17,585
2024-12-18,642
2024-12-19,529
2024-12-20,429
2024-12-21,218
2024-12-22,223
2024-12-23,328
2024-12-24,165
2024-12-25,117
2024-12-26,273
2024-12-27,311
2024-12-28,349
2024-12-29,292
2024-12-30,401
2024-12-31,368
2025-01-01,210
2025-01-02,541
2025-01-03,380
2025-01-04,724
2025-01-05,1017
2025-01-06,2200
2025-01-07,2286
2025-01-08,2374
2025-01-09,2440
2025-01-10,2190
2025-01-11,1556
2025-01-12,1344
2025-01-13,2203
2025-01-14,2358
2025-01-15,2377
2025-01-16,2340
2025-01-17,2252
2025-01-18,1406
2025-01-19,1128
2025-01-20,1038
2025-01-21,2248
2025-01-22,2344
2025-01-23,2493
2025-01-24,2406
2025-01-25,1566
2025-01-26,1400
2025-01-27,2239
2025-01-28,2210
2025-01-29,2339
2025-01-30,2319
2025-01-31,1140
2025-02-01,524
2025-02-02,726
2025-02-03,1676
2025-02-04,771
2025-02-05,2240
2025-02-06,799
2025-02-07,2130
2025-02-08,1566
2025-02-09,1147
2025-02-10,2015
2025-02-11,2105
2025-02-12,2009
2025-02-13,992
2025-02-14,2093
2025-02-15,1238
2025-02-16,940
2025-02-17,959
2025-02-18,2117
2025-02-19,1948
2025-02-20,2289
2025-02-21,2191
2025-02-22,1657
2025-02-23,1415
2025-02-24,2141
2025-02-25,2317
2025-02-26,2452
2025-02-27,2596
2025-02-28,2536
2025-03-01,1693
2025-03-02,1428
2025-03-03,2151
2025-03-04,2196
2025-03-05,2288
2025-03-06,2229
2025-03-07,2341
2025-03-08,1855
2025-03-09,1571
2025-03-10,2164
2025-03-11,2419
2025-03-12,1196
2025-03-13,2184
2025-03-14,1248
2025-03-15,1730
2025-03-16,1336
2025-03-17,1323
2025-03-18,1836
2025-03-19,1790
2025-03-20,1797
2025-03-21,1746
2025-03-22,836
2025-03-23,604
2025-03-24,956
2025-03-25,945
2025-03-26,899
2025-03-27,718
2025-03-28,774
2025-03-29,835
2025-03-30,785
2025-03-31,2169
2025-04-01,2109
2025-04-02,2539
2025-04-03,2583
2025-04-04,2558
2025-04-05,1966
2025-04-06,1639
2025-04-07,2345
2025-04-08,2786
2025-04-09,2801
2025-04-10,2822
2025-04-11,2905
2025-04-12,2416
2025-04-13,1799
2025-04-14,2729
2025-04-15,2721
2025-04-16,2780
2025-04-17,2728
2025-04-18,2656
2025-04-19,1911
2025-04-20,1502
2025-04-21,2621
2025-04-22,2729
2025-04-23,2774
2025-04-24,2564
2025-04-25,2537
2025-04-26,1517
2025-04-27,1351
2025-04-28,2458
2025-04-29,2895
2025-04-30,2952
2025-05-01,3096
2025-05-02,2623
2025-05-03,1969
2025-05-04,1725
2025-05-05,2267
2025-05-06,2698
2025-05-07,2747
2025-05-08,2783
2025-05-09,2891
2025-05-10,2442
2025-05-11,1735
2025-05-12,2020
2025-05-13,2604
2025-05-14,2736
2025-05-15,2775
2025-05-16,2649
2025-05-17,2061
2025-05-18,1721
2025-05-19,2433
2025-05-20,2702
2025-05-21,2783
2025-05-22,2599
2025-05-23,2380
2025-05-24,1594
2025-05-25,1199
2025-05-26,1320
2025-05-27,2506
2025-05-28,2701
2025-05-29,2783
2025-05-30,2592
2025-05-31,2041
2025-06-01,1782
2025-06-02,2463
2025-06-03,2642
